"scientific_name","status","migration","tp","tl","habitat1","colony","ps","min_dist","colour_elab","colour_div","ED_score","logMass","logRange","Order","source"
"Acrocephalus_palustris","LC","Full Migrant","Diurnal","Carnivore","Shrubland","Not colonial",-0.011758841,0,23.54133301,33,6.353201,1.06069784035361,6.77814908800945,"PASSERIFORMES",8
"Acrocephalus_rehsei","VU","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",0.844323957,2140.169951,27.135800525412,38.3167141780126,4.583889,1.12905219965882,1.26239911116223,"PASSERIFORMES",0
"Acrocephalus_rimatarae","VU","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",0.265364967,695.1495954,25.84483328,34,1.834385,1.42324587393681,0.631819799704342,"PASSERIFORMES",0
"Acrocephalus_rodericanus","NT","Not a Migrant","Diurnal","Carnivore","Shrubland","Not colonial",0.889940667,7.340764749,30.37955513,31,4.868361,1.07188200730613,0.43650290757063,"PASSERIFORMES",0
"Acrocephalus_rufescens","LC","Not a Migrant","Diurnal","Carnivore","Aquatic","Not colonial",-0.044461181,0,17.37101955,26.5,2.971827,1.35698140099313,6.14387796176639,"PASSERIFORMES",1
"Acrocephalus_schoenobaenus","LC","Full Migrant","Diurnal","Carnivore","Aquatic","Not colonial",-0.008987473,0,25.11467474,34,6.225147,1.07371835034612,7.07810326939665,"PASSERIFORMES",4
"Acrocephalus_scirpaceus","LC","Full Migrant","Diurnal","Carnivore","Aquatic","Not colonial",-0.004926086,0,19.90512397,32,4.099275,1.0899051114394,7.17739607339055,"PASSERIFORMES",5
"Acrocephalus_sechellensis","NT","Not a Migrant","Diurnal","Carnivore","Shrubland","Not colonial",0.793771591,1514.50127,25.14632704,30,3.611673,1.20139712432045,-0.362550054925704,"PASSERIFORMES",5
"Acrocephalus_sorghophilus","EN","Full Migrant","Diurnal","Carnivore","Aquatic","Not colonial",-1.261632066,21.99580075,27.60445836,36,4.47092,1.09128614504479,4.00403972658546,"PASSERIFORMES",0
"Acrocephalus_stentoreus","LC","Full Migrant","Diurnal","Carnivore","Aquatic","Not colonial",-0.021032867,0,21.82386881,30.75,3.119068,1.38381536598043,6.73710521723987,"PASSERIFORMES",1
"Acrocephalus_syrinx","LC","Not a Migrant","Diurnal","Carnivore","Open vegetation","Not colonial",0.967861263,652.5854694,25.04144046,31,4.534934,1.22526644441464,2.74987822297873,"PASSERIFORMES",0
"Acrocephalus_taiti","VU","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",0.779649984,3002.647483,32.29993888,23,1.727692,1.38560627359831,1.61396868801176,"PASSERIFORMES",0
"Acrocephalus_tangorum","VU","Full Migrant","Diurnal","Carnivore","Aquatic","Not colonial",-0.097569438,0,21.06398435,31,5.210123,1.10733124235256,5.8763862095668,"PASSERIFORMES",0
"Acrocephalus_vaughani","EN","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",0.779649984,2868.583845,26.53085054,28,1.726476,1.38916608436453,0.680823911722207,"PASSERIFORMES",0
"Acropternis_orthonyx","LC","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",-0.202699551,0,32.90838394,42.5,16.058159,1.95424250943932,5.05273983735218,"PASSERIFORMES",0
"Acryllium_vulturinum","LC","Not a Migrant","Diurnal","Herbivore","Open vegetation","Not colonial",-0.31913443,57.48499271,36.17337476,43,16.046514,3.12385164096709,6.08870130086413,"GALLIFORMES",4
"Actenoides_bougainvillei","EN","Not a Migrant","Diurnal","Omnivore","Forest","Not colonial",-0.919770684,830.0374768,34.3539639692936,52.7299200806524,7.271062,1.92079228364223,3.80502334266425,"CORACIIFORMES",0
"Actenoides_concretus","NT","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",-0.149667455,0,38.14027446,74,7.850757,1.86628733908419,6.01048241828157,"CORACIIFORMES",0
"Actenoides_hombroni","VU","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",-1.261632066,14.59189223,30.06249128,72.5,7.332576,2.06818586174616,4.3929474787187,"CORACIIFORMES",1
"Actenoides_lindsayi","LC","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",-1.261632066,0.293760095,28.619012955,73,7.821133,1.9701143222851,5.02784221167788,"CORACIIFORMES",0
