"scientific_name","TipLabel","English","Order","status","migration","gen_length","range","tp","tl","habitat1","colony","ps","min_dist","colour_elab","colour_div","ED_score","mean_mass","logMass","logRange","citations","source"
"Arachnothera chrysogenys","Arachnothera_chrysogenys","Yellow-eared Spiderhunter","PASSERIFORMES","LC","Not a Migrant",4.2,1237355.68947986,"Diurnal","Herbivore","Forest","Not colonial",-0.123999613,0,27.57773953,49,12.623986,23.2,1.3654879848909,6.09249455959173,0,0
"Arachnothera clarae","Arachnothera_clarae","Naked-faced Spiderhunter","PASSERIFORMES","LC","Not a Migrant",4.2,216426.006162857,"Diurnal","Omnivore","Forest","Not colonial",-1.261632066,0,24.75117845,48,10.910188,30.1,1.47856649559384,5.33530944522576,0,0
"Arachnothera crassirostris","Arachnothera_crassirostris","Thick-billed Spiderhunter","PASSERIFORMES","LC","Not a Migrant",4.2,899705.177781828,"Diurnal","Omnivore","Artificial/Terrestrial","Not colonial",-0.13076464,0,28.09181557,39,11.08948,16,1.20411998265592,5.95410021984076,0,0
"Arachnothera everetti","Arachnothera_everetti","Bornean Spiderhunter","PASSERIFORMES","LC","Not a Migrant",4.2,349975.517510443,"Diurnal","Carnivore","Forest","Not colonial",-0.174956787,0,23.90077789,41,10.664383,24.02142906,1.38059884046951,5.54403766440167,0,0
"Arachnothera flavigaster","Arachnothera_flavigaster","Spectacled Spiderhunter","PASSERIFORMES","LC","Not a Migrant",4.2,1166951.21278274,"Diurnal","Herbivore","Forest","Not colonial",-0.122687832,0,27.33158237,56,11.234908,38.4,1.58433122436753,6.06705269969392,0,0
"Arachnothera juliae","Arachnothera_juliae","Whitehead's Spiderhunter","PASSERIFORMES","LC","Not a Migrant",4.2,29522.4276863876,"Diurnal","Herbivore","Forest","Not colonial",-0.116731181,53.93794663,29.41284577,38,11.074957,NA,NA,4.47015206749555,2,2
"Arachnothera longirostra","Arachnothera_longirostra","Little Spiderhunter","PASSERIFORMES","LC","Not a Migrant",4.2,3514594.51809316,"Diurnal","Omnivore","Shrubland","Not colonial",-0.053209253,0,28.61429622,35,16.038197,12.55,1.09864372581706,6.5458752273039,1,1
"Arachnothera magna","Arachnothera_magna","Streaked Spiderhunter","PASSERIFORMES","LC","Not a Migrant",4.2,1984515.60411192,"Diurnal","Omnivore","Forest","Not colonial",-0.057178097,0,29.73006267,64.5,13.61694,30.7,1.48713837547719,6.29765451808473,1,1
"Arachnothera robusta","Arachnothera_robusta","Long-billed Spiderhunter","PASSERIFORMES","LC","Not a Migrant",4.2,630863.392327482,"Diurnal","Omnivore","Forest","Not colonial",-0.115793506,0,26.62324423,35,16.311597,NA,NA,5.79993532694404,0,0
"Aramides axillaris","Aramides_axillaris","Rufous-necked Wood-rail","GRUIFORMES","LC","Not a Migrant",3.7,393910.079621311,"Diurnal","Carnivore","Forest","Not colonial",-0.044046526,0,23.68085333,80,8.122632,292,2.46538285144842,5.59539709395437,3,3
"Aramides cajanea","Aramides_cajanea","Grey-necked Wood-rail","GRUIFORMES","LC","Not a Migrant",3.7,13569087.7651925,"Diurnal","Omnivore","Forest","Not colonial",-0.017078331,0,23.68103109,75,7.740114,397,2.59879050676312,7.13255065150203,4,2
"Aramides calopterus","Aramides_calopterus","Red-winged Wood-rail","GRUIFORMES","LC","Not a Migrant",3.7,627474.354887175,"Diurnal","Carnivore","Forest","Not colonial",-0.110482635,53.96457148,27.12545151,67,8.165259,NA,NA,5.79759598073701,0,0
"Aramides mangle","Aramides_mangle","Little Wood-rail","GRUIFORMES","LC","Not a Migrant",3.7,774435.843397101,"Diurnal","Carnivore","Artificial/Terrestrial","Not colonial",-0.254519398,0,27.53051395,84,8.256483,183,2.26245108973043,5.88898544531962,0,0
"Aramides saracura","Aramides_saracura","Slaty-breasted Wood-rail","GRUIFORMES","LC","Not a Migrant",3.7,928700.368490316,"Diurnal","Carnivore","Forest","Not colonial",-0.082774279,0,23.16611408,76,8.125703,540,2.73239375982297,5.9678756178677,3,2
"Aramides wolfi","Aramides_wolfi","Brown Wood-rail","GRUIFORMES","VU","Not a Migrant",3.7,119660.264686117,"Diurnal","Carnivore","Forest","Not colonial",-0.253275463,45.72390138,30.56415302,77,8.114503,454,2.6570558528571,5.07794995915782,1,1
"Aramides ypecaha","Aramides_ypecaha","Giant Wood-rail","GRUIFORMES","LC","Not a Migrant",3.7,3651809.82929319,"Diurnal","Omnivore","Forest","Not colonial",-0.033943064,0,30.17169481,72,7.787767,701,2.84571801796666,6.56250815324369,0,0
"Aramidopsis plateni","Aramidopsis_plateni","Snoring Rail","GRUIFORMES","VU","Not a Migrant",3.7,83126.4446318113,"Diurnal","Carnivore","Forest","Not colonial",-1.04490994,187.0560285,25.0384111,56,9.433495,NA,NA,4.91973920586211,0,0
"Aramus guarauna","Aramus_guarauna","Limpkin","GRUIFORMES","LC","Full Migrant",6.5,12182049.0621506,"Diurnal","Omnivore","Wetlands (inland)","Not colonial",-0.01013598,0,23.49612528,42.5,29.235337,1080,3.03342375548695,7.08572034425245,28,9
"Aratinga acuticaudata","Aratinga_acuticaudata","Blue-crowned Parakeet","PSITTACIFORMES","LC","Nomadic",7,3344865.01425679,"Diurnal","Omnivore","Shrubland","Not colonial",-0.043049704,0,NA,NA,3.281459,171,2.23299611039215,6.52437859602124,0,0
