order,family_name,family,common_name,birdlife,type,scientific_name
PASSERIFORMES,Pycnonotidae,Bulbuls,White-spectacled Bulbul,Pycnonotus xanthopygos,scientific_name,Pycnonotus xanthopygos
PASSERIFORMES,Pycnonotidae,Bulbuls,Brown-breasted Bulbul,Pycnonotus xanthorrhous,scientific_name,Pycnonotus xanthorrhous
PASSERIFORMES,Pycnonotidae,Bulbuls,Straw-headed Bulbul,Pycnonotus zeylanicus,scientific_name,Pycnonotus zeylanicus
PASSERIFORMES,Acanthizidae,Thornbills,Pilotbird,Pycnoptilus floccosus,scientific_name,Pycnoptilus floccosus
PASSERIFORMES,Meliphagidae,Honeyeaters,Marbled Honeyeater,Pycnopygius cinereus,scientific_name,Pycnopygius cinereus
PASSERIFORMES,Meliphagidae,Honeyeaters,Plain Honeyeater,Pycnopygius ixoides,scientific_name,Pycnopygius ixoides
PASSERIFORMES,Meliphagidae,Honeyeaters,Streak-headed Honeyeater,Pycnopygius stictocephalus,scientific_name,Pycnopygius stictocephalus
PASSERIFORMES,Furnariidae,Ovenbirds,White-throated Treerunner,Pygarrhichas albogularis,scientific_name,Pygarrhichas albogularis
PASSERIFORMES,Thamnophilidae,Typical antbirds,Spot-winged Antshrike,Pygiptila stellaris,scientific_name,Pygiptila stellaris
PASSERIFORMES,Hirundinidae,Swallows and martins,Blue-and-white Swallow,Pygochelidon cyanoleuca,scientific_name,Pygochelidon cyanoleuca
PASSERIFORMES,Hirundinidae,Swallows and martins,Blue-and-white Swallow,Pygochelidon cyanoleuca,synonym_1,Notiochelidon cyanoleuca
PASSERIFORMES,Hirundinidae,Swallows and martins,Black-collared Swallow,Pygochelidon melanoleuca,scientific_name,Pygochelidon melanoleuca
PASSERIFORMES,Hirundinidae,Swallows and martins,Black-collared Swallow,Pygochelidon melanoleuca,synonym_1,Atticora melanoleuca
PASSERIFORMES,Estrildidae,Waxbills,Lesser Seedcracker,Pyrenestes minor,scientific_name,Pyrenestes minor
PASSERIFORMES,Estrildidae,Waxbills,Black-bellied Seedcracker,Pyrenestes ostrinus,scientific_name,Pyrenestes ostrinus
PASSERIFORMES,Estrildidae,Waxbills,Crimson Seedcracker,Pyrenestes sanguineus,scientific_name,Pyrenestes sanguineus
PASSERIFORMES,Passeridae,Old World sparrows,Plain-backed Snowfinch,Pyrgilauda blanfordi,scientific_name,Pyrgilauda blanfordi
PASSERIFORMES,Passeridae,Old World sparrows,Plain-backed Snowfinch,Pyrgilauda blanfordi,synonym_1,Montifringilla blanfordi
PASSERIFORMES,Passeridae,Old World sparrows,Small Snowfinch,Pyrgilauda davidiana,scientific_name,Pyrgilauda davidiana
PASSERIFORMES,Passeridae,Old World sparrows,Small Snowfinch,Pyrgilauda davidiana,synonym_1,Montifringilla davidiana
PASSERIFORMES,Passeridae,Old World sparrows,Rufous-necked Snowfinch,Pyrgilauda ruficollis,scientific_name,Pyrgilauda ruficollis
PASSERIFORMES,Passeridae,Old World sparrows,Rufous-necked Snowfinch,Pyrgilauda ruficollis,synonym_1,Montifringilla ruficollis
PASSERIFORMES,Passeridae,Old World sparrows,Afghan Snowfinch,Pyrgilauda theresae,scientific_name,Pyrgilauda theresae
PASSERIFORMES,Passeridae,Old World sparrows,Afghan Snowfinch,Pyrgilauda theresae,synonym_1,Montifringilla theresae
PASSERIFORMES,Thamnophilidae,Typical antbirds,Fringe-backed Fire-eye,Pyriglena atra,scientific_name,Pyriglena atra
PASSERIFORMES,Thamnophilidae,Typical antbirds,White-backed Fire-eye,Pyriglena leuconota,scientific_name,Pyriglena leuconota
PASSERIFORMES,Thamnophilidae,Typical antbirds,White-shouldered Fire-eye,Pyriglena leucoptera,scientific_name,Pyriglena leucoptera
PASSERIFORMES,Tyrannidae,Tyrant-flycatchers,Little Vermilion Flycatcher,Pyrocephalus nanus,scientific_name,Pyrocephalus nanus
PASSERIFORMES,Tyrannidae,Tyrant-flycatchers,Common Vermilion Flycatcher,Pyrocephalus rubinus,scientific_name,Pyrocephalus rubinus
PASSERIFORMES,Cotingidae,Cotingas,Red-ruffed Fruitcrow,Pyroderus scutatus,scientific_name,Pyroderus scutatus
PASSERIFORMES,Corvidae,Crows and jays,Yellow-billed Chough,Pyrrhocorax graculus,scientific_name,Pyrrhocorax graculus
PASSERIFORMES,Corvidae,Crows and jays,Red-billed Chough,Pyrrhocorax pyrrhocorax,scientific_name,Pyrrhocorax pyrrhocorax
PASSERIFORMES,Acanthizidae,Thornbills,Redthroat,Pyrrholaemus brunneus,scientific_name,Pyrrholaemus brunneus
PASSERIFORMES,Acanthizidae,Thornbills,Speckled Warbler,Pyrrholaemus sagittatus,scientific_name,Pyrrholaemus sagittatus
PASSERIFORMES,Acanthizidae,Thornbills,Speckled Warbler,Pyrrholaemus sagittatus,synonym_1,Chthonicola sagittata
PASSERIFORMES,Acanthizidae,Thornbills,Speckled Warbler,Pyrrholaemus sagittatus,synonym_2,Chthonicola sagittatus
PASSERIFORMES,Tyrannidae,Tyrant-flycatchers,Cinnamon Flycatcher,Pyrrhomyias cinnamomeus,scientific_name,Pyrrhomyias cinnamomeus
PASSERIFORMES,Tyrannidae,Tyrant-flycatchers,Cinnamon Flycatcher,Pyrrhomyias cinnamomeus,synonym_1,Pyrrhomyias cinnamomea
PASSERIFORMES,Fringillidae,Finches,Gold-naped Finch,Pyrrhoplectes epauletta,scientific_name,Pyrrhoplectes epauletta
PASSERIFORMES,Fringillidae,Finches,Orange Bullfinch,Pyrrhula aurantiaca,scientific_name,Pyrrhula aurantiaca
PASSERIFORMES,Fringillidae,Finches,Grey-headed Bullfinch,Pyrrhula erythaca,scientific_name,Pyrrhula erythaca
PASSERIFORMES,Fringillidae,Finches,Red-headed Bullfinch,Pyrrhula erythrocephala,scientific_name,Pyrrhula erythrocephala
PASSERIFORMES,Fringillidae,Finches,White-cheeked Bullfinch,Pyrrhula leucogenis,scientific_name,Pyrrhula leucogenis
PASSERIFORMES,Fringillidae,Finches,Azores Bullfinch,Pyrrhula murina,scientific_name,Pyrrhula murina
PASSERIFORMES,Fringillidae,Finches,Brown Bullfinch,Pyrrhula nipalensis,scientific_name,Pyrrhula nipalensis
PASSERIFORMES,Fringillidae,Finches,Eurasian Bullfinch,Pyrrhula pyrrhula,scientific_name,Pyrrhula pyrrhula
PASSERIFORMES,Fringillidae,Finches,Malay Bullfinch,Pyrrhula waterstradti,scientific_name,Pyrrhula waterstradti
PASSERIFORMES,Thraupidae,Tanagers,Cuban Bullfinch,Pyrrhulagra nigra,scientific_name,Pyrrhulagra nigra
PASSERIFORMES,Thraupidae,Tanagers,Cuban Bullfinch,Pyrrhulagra nigra,synonym_1,Melopyrrha nigra
